X, Y, label, Band_1, Band_2, Band_3, Band_4, Band_5, Band_6, Band_7, NDVI, NDWI, 
554849.9, 2326275.0, barren, 686.0, 2615.0, 383.0, 754.5, 2589.5, 1992.0, 1336.5, 0.584, -0.552, 
597336.6, 2333161.0, barren, 936.0, 2467.0, 545.5, 946.0, 2449.5, 1950.5, 1310.0, 0.45, -0.446, 
605367.3, 2305853.0, barren, 998.0, 2797.0, 632.0, 1075.0, 2488.0, 2223.0, 1547.0, 0.474, -0.445, 
496989.1, 2390101.0, barren, 574.0, 2581.0, 348.0, 633.5, 2291.0, 1282.0, 649.0, 0.636, -0.606, 
612077.9, 2311820.0, barren, 1313.0, 2516.5, 709.5, 1221.5, 2643.5, 2327.0, 1556.0, 0.314, -0.346, 
528648.7, 2370578.0, barren, 679.0, 2888.0, 302.0, 646.0, 2897.0, 1595.5, 832.0, 0.619, -0.634, 
594958.4, 2297454.0, barren, 828.0, 2483.0, 531.5, 837.5, 2466.0, 1977.0, 1367.5, 0.5, -0.496, 
574385.2, 2327076.0, barren, 831.0, 2705.0, 486.0, 879.0, 2653.0, 1749.0, 1149.0, 0.53, -0.509, 
616039.8, 2313634.0, barren, 1165.0, 2627.0, 672.0, 1115.0, 2502.0, 2372.5, 1705.0, 0.386, -0.404, 
611417.8, 2338289.0, barren, 899.5, 2628.5, 503.0, 886.5, 2194.0, 1832.0, 951.5, 0.49, -0.496, 
576988.8, 2326689.0, barren, 979.0, 2336.0, 556.0, 905.0, 2314.0, 2199.0, 1644.0, 0.409, -0.442, 
535458.8, 2359632.0, barren, 1118.0, 2914.5, 651.0, 1071.0, 2846.0, 3017.0, 1943.5, 0.446, -0.463, 
573215.6, 2336554.0, barren, 954.0, 2301.0, 547.5, 983.5, 1880.5, 1647.0, 1185.0, 0.414, -0.401, 
552529.7, 2319997.0, barren, 587.5, 2399.0, 335.5, 642.0, 2277.5, 1707.0, 956.5, 0.607, -0.578, 
609983.1, 2344008.0, barren, 948.5, 2835.5, 563.0, 942.0, 2429.0, 2004.5, 1547.5, 0.499, -0.501, 
546392.9, 2326522.0, barren, 753.0, 2645.0, 411.5, 800.0, 2565.0, 2216.5, 1222.5, 0.557, -0.536, 
594946.8, 2338688.0, barren, 852.0, 2714.0, 487.0, 850.0, 2657.0, 2255.0, 1377.0, 0.522, -0.523, 
533199.3, 2323901.0, barren, 792.5, 2570.5, 477.0, 838.0, 2788.5, 2310.0, 1163.0, 0.529, -0.508, 
610987.2, 2314634.0, barren, 1324.0, 2725.0, 751.0, 1235.0, 2685.0, 2591.0, 1943.0, 0.346, -0.376, 
612522.8, 2313320.0, barren, 1265.0, 2830.0, 689.0, 1145.0, 2729.0, 2610.0, 1587.0, 0.382, -0.424, 
532549.6, 2366357.0, barren, 644.5, 2500.0, 376.0, 694.0, 2308.5, 1862.5, 1102.0, 0.59, -0.565, 
507586.6, 2389424.0, barren, 415.0, 2866.0, 296.0, 581.0, 2637.0, 1336.0, 666.0, 0.747, -0.663, 
603251.6, 2332701.0, barren, 1032.0, 2811.0, 651.0, 1008.0, 2658.0, 2063.0, 1685.0, 0.463, -0.472, 
600429.0, 2323653.0, barren, 952.0, 2417.0, 565.0, 914.0, 2392.0, 2096.0, 1232.0, 0.435, -0.451, 
609614.3, 2327571.0, barren, 1102.5, 2556.0, 625.0, 1077.0, 2348.5, 2032.0, 1487.0, 0.397, -0.407, 
580884.0, 2354832.0, barren, 425.0, 2560.5, 251.0, 541.5, 2293.0, 1526.0, 642.0, 0.715, -0.651, 
607871.3, 2307949.0, barren, 1014.0, 2730.5, 600.5, 1008.0, 2741.5, 2312.0, 1451.5, 0.458, -0.461, 
604212.4, 2332657.0, barren, 968.5, 2790.5, 589.0, 968.5, 2781.0, 2047.5, 1429.5, 0.485, -0.485, 
490656.9, 2364253.0, barren, 370.0, 3191.5, 307.0, 488.0, 2730.0, 2544.0, 732.5, 0.792, -0.735, 
538280.6, 2353415.0, barren, 975.0, 2000.0, 538.0, 906.0, 2496.0, 1889.0, 1309.0, 0.345, -0.376, 
599490.1, 2295473.0, barren, 773.0, 2412.5, 484.5, 850.5, 2183.0, 1856.0, 1105.0, 0.515, -0.479, 
518804.3, 2356359.0, barren, 621.5, 2597.0, 367.0, 719.0, 2365.0, 1861.0, 915.0, 0.614, -0.566, 
589416.2, 2342309.0, barren, 1017.5, 3017.5, 602.0, 1013.0, 2820.0, 2221.0, 1648.0, 0.496, -0.497, 
539538.4, 2336688.0, barren, 672.5, 2909.0, 376.0, 745.5, 2750.5, 1991.0, 1266.5, 0.624, -0.592, 
612247.4, 2332295.0, barren, 1074.0, 2541.0, 643.0, 1069.0, 2518.0, 2056.0, 1309.0, 0.406, -0.408, 
525497.3, 2368624.0, barren, 1338.0, 2877.0, 641.0, 1110.0, 3160.0, 2929.0, 1766.0, 0.365, -0.443, 
523798.2, 2362358.0, barren, 754.0, 2693.0, 390.0, 777.0, 2525.0, 1597.0, 1081.5, 0.563, -0.552, 
584961.3, 2310134.0, barren, 920.0, 2638.0, 559.0, 977.0, 2429.0, 1951.0, 1193.0, 0.483, -0.459, 
614264.0, 2327246.0, barren, 987.0, 3044.0, 578.0, 979.0, 2763.0, 2126.0, 1342.0, 0.51, -0.513, 
595301.2, 2328484.0, barren, 945.0, 2230.0, 565.0, 932.0, 2158.0, 1552.0, 1094.0, 0.405, -0.41, 
529632.9, 2344597.0, barren, 764.0, 2787.0, 422.0, 807.0, 2660.0, 1963.0, 1049.0, 0.57, -0.551, 
601454.4, 2331928.0, barren, 1334.5, 2823.0, 853.5, 1299.0, 2933.0, 2374.0, 2221.0, 0.358, -0.37, 
512005.5, 2370189.0, barren, 1107.0, 2528.0, 575.0, 1055.0, 2363.0, 2238.0, 1460.0, 0.391, -0.411, 
535485.4, 2359597.0, barren, 1118.0, 2914.5, 651.0, 1071.0, 2846.0, 3017.0, 1943.5, 0.446, -0.463, 
604238.5, 2332621.0, barren, 968.5, 2790.5, 589.0, 968.5, 2781.0, 2047.5, 1429.5, 0.485, -0.485, 
607501.1, 2318858.0, barren, 1191.0, 2579.0, 723.0, 1156.0, 2502.0, 2087.0, 1508.0, 0.368, -0.381, 
573344.5, 2338815.0, barren, 851.0, 2701.5, 484.0, 902.0, 2163.5, 1508.5, 918.5, 0.521, -0.499, 
587192.7, 2336836.0, barren, 848.5, 2552.0, 504.5, 838.0, 2417.5, 1816.0, 1117.0, 0.501, -0.506, 
555097.0, 2335572.0, barren, 782.0, 2698.0, 472.5, 840.0, 2563.5, 1920.5, 1288.0, 0.551, -0.525, 
605814.4, 2344752.0, barren, 940.0, 3247.0, 564.0, 1011.0, 2792.0, 1708.0, 1220.0, 0.551, -0.525, 
547805.8, 2333417.0, barren, 658.0, 2822.0, 386.0, 741.0, 2674.5, 1862.0, 1313.5, 0.622, -0.584, 
545891.3, 2323137.0, barren, 499.0, 2902.0, 288.0, 622.5, 2853.0, 2176.5, 1102.5, 0.707, -0.647, 
