X,Y,label,B1,B2,B3,B4,B5,B6,B7,DEM,NDVI,NDWI
114,88,5,1118.0,2914.5,651.0,1071.0,2846.0,3017.0,1943.5,24,0.446,-0.463
192,136,5,954.0,2301.0,547.5,983.5,1880.5,1647.0,1185.0,28,0.414,-0.401
149,170,5,587.5,2399.0,335.5,642.0,2277.5,1707.0,956.5,55,0.607,-0.578
268,121,5,948.5,2835.5,563.0,942.0,2429.0,2004.5,1547.5,8,0.499,-0.501
136,157,5,753.0,2645.0,411.5,800.0,2565.0,2216.5,1222.5,39,0.557,-0.536
237,132,5,852.0,2714.0,487.0,850.0,2657.0,2255.0,1377.0,19,0.522,-0.523
109,162,5,792.5,2570.5,477.0,838.0,2788.5,2310.0,1163.0,21,0.529,-0.508
270,181,5,1324.0,2725.0,751.0,1235.0,2685.0,2591.0,1943.0,11,0.346,-0.376
273,184,5,1265.0,2830.0,689.0,1145.0,2729.0,2610.0,1587.0,15,0.382,-0.424
108,74,5,644.5,2500.0,376.0,694.0,2308.5,1862.5,1102.0,65,0.59,-0.565
56,27,5,415.0,2866.0,296.0,581.0,2637.0,1336.0,666.0,89,0.747,-0.663
254,144,5,1032.0,2811.0,651.0,1008.0,2658.0,2063.0,1685.0,9,0.463,-0.472
248,163,5,952.0,2417.0,565.0,914.0,2392.0,2096.0,1232.0,11,0.435,-0.451
267,155,5,1102.5,2556.0,625.0,1077.0,2348.5,2032.0,1487.0,13,0.397,-0.407
208,98,5,425.0,2560.5,251.0,541.5,2293.0,1526.0,642.0,48,0.715,-0.651
263,195,5,1014.0,2730.5,600.5,1008.0,2741.5,2312.0,1451.5,8,0.458,-0.461
256,144,5,968.5,2790.5,589.0,968.5,2781.0,2047.5,1429.5,11,0.485,-0.485
21,79,5,370.0,3191.5,307.0,488.0,2730.0,2544.0,732.5,466,0.792,-0.735
119,101,5,975.0,2000.0,538.0,906.0,2496.0,1889.0,1309.0,9,0.345,-0.376
246,221,5,773.0,2412.5,484.5,850.5,2183.0,1856.0,1105.0,6,0.515,-0.479
79,95,5,621.5,2597.0,367.0,719.0,2365.0,1861.0,915.0,20,0.614,-0.566
225,124,5,1017.5,3017.5,602.0,1013.0,2820.0,2221.0,1648.0,8,0.496,-0.497
122,136,5,672.5,2909.0,376.0,745.5,2750.5,1991.0,1266.5,30,0.624,-0.592
272,145,5,1074.0,2541.0,643.0,1069.0,2518.0,2056.0,1309.0,8,0.406,-0.408
93,70,5,1338.0,2877.0,641.0,1110.0,3160.0,2929.0,1766.0,24,0.365,-0.443
89,83,5,754.0,2693.0,390.0,777.0,2525.0,1597.0,1081.5,22,0.563,-0.552
216,191,5,920.0,2638.0,559.0,977.0,2429.0,1951.0,1193.0,8,0.483,-0.459
277,155,5,987.0,3044.0,578.0,979.0,2763.0,2126.0,1342.0,10,0.51,-0.513
237,153,5,945.0,2230.0,565.0,932.0,2158.0,1552.0,1094.0,10,0.405,-0.41
102,119,5,764.0,2787.0,422.0,807.0,2660.0,1963.0,1049.0,35,0.57,-0.551
250,146,5,1334.5,2823.0,853.5,1299.0,2933.0,2374.0,2221.0,11,0.358,-0.37
65,66,5,1107.0,2528.0,575.0,1055.0,2363.0,2238.0,1460.0,19,0.391,-0.411
114,88,5,1118.0,2914.5,651.0,1071.0,2846.0,3017.0,1943.5,22,0.446,-0.463
256,144,5,968.5,2790.5,589.0,968.5,2781.0,2047.5,1429.5,9,0.485,-0.485
263,173,5,1191.0,2579.0,723.0,1156.0,2502.0,2087.0,1508.0,10,0.368,-0.381
192,131,5,851.0,2701.5,484.0,902.0,2163.5,1508.5,918.5,19,0.521,-0.499
221,135,5,848.5,2552.0,504.5,838.0,2417.5,1816.0,1117.0,11,0.501,-0.506
154,138,5,782.0,2698.0,472.5,840.0,2563.5,1920.5,1288.0,10,0.551,-0.525
259,119,5,940.0,3247.0,564.0,1011.0,2792.0,1708.0,1220.0,11,0.551,-0.525
139,142,5,658.0,2822.0,386.0,741.0,2674.5,1862.0,1313.5,23,0.622,-0.584
135,164,5,499.0,2902.0,288.0,622.5,2853.0,2176.5,1102.5,51,0.707,-0.647
38,30,5,521.0,2771.0,352.0,637.0,2418.0,1845.0,723.0,49,0.683,-0.626
259,136,5,863.0,2894.0,507.0,875.0,2563.0,2149.0,1244.0,13,0.541,-0.536
112,88,5,1365.0,3075.0,694.5,1262.5,3169.0,2880.0,2191.5,24,0.385,-0.418
257,145,5,950.5,2869.5,559.0,940.0,2771.5,2201.5,1349.5,13,0.502,-0.506
120,84,5,751.0,2688.0,411.0,732.0,2781.0,1900.5,1139.0,23,0.563,-0.572
207,216,5,1013.0,2160.0,578.0,982.0,2034.0,1592.0,1017.0,5,0.361,-0.375
92,68,5,846.0,2625.0,497.0,887.0,3182.0,2426.5,1472.0,19,0.513,-0.495
92,134,5,680.0,3048.0,391.0,722.0,3080.0,1759.0,987.0,78,0.635,-0.617
266,155,5,864.5,2698.5,485.5,897.0,2299.0,2144.5,1303.0,12,0.515,-0.501
178,178,5,1100.5,1938.5,649.0,1166.5,1292.5,937.0,579.0,12,0.276,-0.249
315,141,5,892.0,2685.0,513.0,932.0,2219.0,1689.5,1032.0,11,0.501,-0.485
270,190,5,1039.0,2621.0,562.0,975.0,2560.0,1973.0,1021.0,7,0.432,-0.458
80,131,5,484.0,2831.0,269.0,590.0,2791.0,1810.0,844.0,91,0.708,-0.655
85,162,5,386.0,3080.0,226.0,534.0,2864.0,1877.0,735.0,88,0.777,-0.704
77,101,3,755.0,2514.5,438.0,776.0,2317.5,1726.0,1046.5,30,0.538,-0.528
289,124,3,915.0,2954.0,515.0,926.0,2611.0,1859.0,1120.0,11,0.527,-0.523
314,155,3,824.0,2877.0,485.0,881.0,2537.0,1989.5,1251.0,9,0.555,-0.531
95,76,3,766.0,2257.5,393.0,779.5,2160.0,1611.0,990.0,12,0.493,-0.487
96,81,3,842.0,2437.0,407.0,821.0,2425.0,1531.0,1008.0,11,0.486,-0.496
114,78,3,709.0,2760.0,439.5,792.5,2610.5,1697.0,1027.5,12,0.591,-0.554
107,124,3,722.0,2720.0,415.0,747.0,2589.5,1813.5,998.0,21,0.58,-0.569
122,88,3,949.0,2369.0,532.0,903.0,2547.0,2116.0,1891.0,43,0.428,-0.448
63,93,3,528.0,2944.0,308.0,641.0,2645.0,1699.0,841.0,40,0.696,-0.642
201,160,3,783.0,2347.5,466.0,828.0,2140.5,1616.0,1120.5,11,0.5,-0.479
107,130,3,681.0,2720.0,405.0,722.0,2533.0,2165.0,1055.0,22,0.6,-0.58
298,143,3,908.0,2782.0,512.0,935.0,2729.0,1917.0,1392.0,23,0.508,-0.497
60,61,3,808.0,2513.0,433.0,818.0,1967.0,1414.0,861.0,39,0.513,-0.509
244,160,3,758.0,2803.0,476.5,823.5,2439.0,1713.0,1158.5,10,0.574,-0.546
119,132,3,648.5,2536.0,386.5,748.0,1907.5,1415.0,781.5,52,0.593,-0.544
301,240,3,680.5,2937.5,418.5,790.0,2791.5,1598.0,1031.0,8,0.624,-0.576
46,49,3,618.0,2556.0,385.0,695.0,2142.0,1338.0,837.0,27,0.611,-0.572
43,78,3,459.0,2809.0,252.0,530.0,2578.0,1611.0,838.0,58,0.719,-0.683
301,146,3,940.5,3114.0,495.0,914.0,2620.0,2254.0,1130.5,9,0.536,-0.546
217,191,3,897.0,2667.0,525.0,936.0,2468.0,2009.0,1163.0,7,0.497,-0.48
26,50,3,572.0,2873.0,378.5,657.0,2461.0,1615.0,780.5,51,0.668,-0.628
205,241,3,783.0,2553.0,457.0,816.0,2341.0,1708.5,1211.0,8,0.531,-0.516
173,193,3,722.0,2157.0,400.0,787.0,1666.0,1239.0,681.0,12,0.498,-0.465
70,34,3,363.0,3240.0,256.0,473.0,2706.0,1562.0,607.0,106,0.799,-0.745
